ni;REGIONAL;MUNICIPIO;ESCOLA
33049700;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 208 ALCEU AMOROSO LIMA
33049718;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 228 DARCY VARGAS
33049726;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 089 GRACILIANO RAMOS
33049734;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 035 MARECHAL HENRIQUE TEIXEIRA LOTT
33049742;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 118 VEREADOR VILSON CAMPOS DE MACEDO
33049785;METROPOLITANA V;DUQUE DE CAXIAS;CE ADELINA CASTRO
33049793;METROPOLITANA V;DUQUE DE CAXIAS;CE ALEXANDER GRAHAM BELL
33049807;METROPOLITANA V;DUQUE DE CAXIAS;CE FREI HENRIQUE DE COIMBRA
33049815;METROPOLITANA V;DUQUE DE CAXIAS;CE SANTO INACIO
33049920;METROPOLITANA V;DUQUE DE CAXIAS;CE ABDALA CHAMA
33049947;METROPOLITANA V;DUQUE DE CAXIAS;EE ASSIS CHATEAUBRIAND
33049963;METROPOLITANA V;DUQUE DE CAXIAS;CE EMBAIXADOR RAUL FERNANDES
33049971;METROPOLITANA V;DUQUE DE CAXIAS;CIEP FILINTO MULLER - BRASIL-CHINA
33049980;METROPOLITANA V;DUQUE DE CAXIAS;CE HELIO RANGEL
33049998;METROPOLITANA V;DUQUE DE CAXIAS;EE JOAO XXIII
33050015;METROPOLITANA V;DUQUE DE CAXIAS;CE MARECHAL RONDON
33050023;METROPOLITANA V;DUQUE DE CAXIAS;CE MINAS GERAIS
33050031;METROPOLITANA V;DUQUE DE CAXIAS;CE PROFESSORA VERA LUCIA TAVARES ROMAO
33050040;METROPOLITANA V;DUQUE DE CAXIAS;EE PROFESSORA CORDELIA PAIVA
33050058;METROPOLITANA V;DUQUE DE CAXIAS;EE PROFESSORA SARAH FARIA BRAZ
33050422;METROPOLITANA V;DUQUE DE CAXIAS;CE FERNANDO FIGUEIREDO
33050430;METROPOLITANA V;DUQUE DE CAXIAS;CE PADRE ANCHIETA
33050490;METROPOLITANA V;DUQUE DE CAXIAS;CE DOUTOR ALFREDO BACKER
33050503;METROPOLITANA V;DUQUE DE CAXIAS;CE MANOEL BANDEIRA
33050511;METROPOLITANA V;DUQUE DE CAXIAS;CE NOVA AMÉRICA
33050538;METROPOLITANA V;DUQUE DE CAXIAS;CE OPERARIO JOAO VICENTE
33050546;METROPOLITANA V;DUQUE DE CAXIAS;CE PARADA ANGÉLICA
33050554;METROPOLITANA V;DUQUE DE CAXIAS;CE PROFESSOR FRANCISCO PORTUGAL NEVES
33050570;METROPOLITANA V;DUQUE DE CAXIAS;CE PROFESSORA MINERVINA BARBOSA DE CASTRO
33050759;METROPOLITANA V;DUQUE DE CAXIAS;CE BARAO DE MAUA
33050767;METROPOLITANA V;DUQUE DE CAXIAS;CE CIRCULO OPERARIO
33050791;METROPOLITANA V;DUQUE DE CAXIAS;CE ALEMY TAVARES DA SILVA
33050805;METROPOLITANA V;DUQUE DE CAXIAS;CE HERVALINA DINIZ PIRES
33050813;METROPOLITANA V;DUQUE DE CAXIAS;CE MONTEIRO LOBATO
33050848;METROPOLITANA V;DUQUE DE CAXIAS;CE SANTO ANTONIO
33096694;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 476 ELIAS LAZARONI
33097810;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 348 EUGENIA MOREYRA
33097895;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 404 CLARICE LISPECTOR
33098816;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 340 PROFESSORA LAIS MARTINS
33099073;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 199 GINÁSIO PÚBLICO CHARLES CHAPLIN
33099189;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 434 PROFESSORA MARIA JOSE MACHADO
33099200;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 229 CANDIDO PORTINARI
33099227;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 370 PROFESSOR SYLVIO GNECCO DE CARVALHO - BRASIL-MÉXICO
33099235;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 218 MINISTRO HERMES LIMA BRASIL-TURQUIA
33099243;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 171 JOSE AMERICO PESSANHA
33099286;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 350 TULIO ROBERTO QUINTILIANO CARDOSO
33099766;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 209 ATAULFO ALVES
33101620;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 176 CHICO MENDES
33101655;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 320 ERCILIA ANTONIA DA SILVA
33110220;METROPOLITANA V;DUQUE DE CAXIAS;CIEP 201 AARAO STEINBRUCH
33142882;METROPOLITANA V;DUQUE DE CAXIAS;CE PATRONO DUQUE DE CAXIAS
33062374;METROPOLITANA VI;RIO DE JANEIRO;CE REVERENDO HUGH CLARENCE TUCKER
33062668;METROPOLITANA VI;RIO DE JANEIRO;CE JULIA KUBITSCHEK
33062676;METROPOLITANA VI;RIO DE JANEIRO;CE SOUZA AGUIAR
33062919;METROPOLITANA VI;RIO DE JANEIRO;CE PAULO DE FRONTIN
33062927;METROPOLITANA VI;RIO DE JANEIRO;CE TOMAS ANTONIO GONZAGA
33063052;METROPOLITANA VI;RIO DE JANEIRO;CE MEM DE SA
33063389;METROPOLITANA VI;RIO DE JANEIRO;CE CHICO ANYSIO
33063397;METROPOLITANA VI;RIO DE JANEIRO;CE SENOR ABRAVANEL
33063400;METROPOLITANA VI;RIO DE JANEIRO;CE MEXICO
33063877;METROPOLITANA VI;RIO DE JANEIRO;CE DEODORO
33064644;METROPOLITANA VI;RIO DE JANEIRO;CE INFANTE DOM HENRIQUE
33064652;METROPOLITANA VI;RIO DE JANEIRO;CE PEDRO ALVARES CABRAL
33064792;METROPOLITANA VI;RIO DE JANEIRO;CE CASTELNUOVO
33065217;METROPOLITANA VI;RIO DE JANEIRO;CE PROFESSOR ANTONIO MARIA TEIXEIRA FILHO
33065276;METROPOLITANA VI;RIO DE JANEIRO;CE ANDRE MAUROIS
33065284;METROPOLITANA VI;RIO DE JANEIRO;CE IGNACIO AZEVEDO DO AMARAL
33065292;METROPOLITANA VI;RIO DE JANEIRO;CE MANUEL BANDEIRA
33066027;METROPOLITANA VI;RIO DE JANEIRO;CE NILO PECANHA
33066035;METROPOLITANA VI;RIO DE JANEIRO;CE OLAVO BILAC
33066043;METROPOLITANA VI;RIO DE JANEIRO;CE PROFESSOR ERNESTO FARIA
33066140;METROPOLITANA VI;RIO DE JANEIRO;CE GONCALVES DIAS
33066590;METROPOLITANA VI;RIO DE JANEIRO;CE ANTONIO PRADO JUNIOR
33066612;METROPOLITANA VI;RIO DE JANEIRO;CE PROFESSOR CLOVIS SALGADO
33066620;METROPOLITANA VI;RIO DE JANEIRO;CE SOARES PEREIRA
33067783;METROPOLITANA VI;RIO DE JANEIRO;CE FRANCISCO CAMPOS
33067791;METROPOLITANA VI;RIO DE JANEIRO;CE JOAO ALFREDO
33068011;METROPOLITANA VI;RIO DE JANEIRO;CE AFONSO PENA
33071560;METROPOLITANA VI;RIO DE JANEIRO;CE DELFIM MOREIRA
33072337;METROPOLITANA VI;RIO DE JANEIRO;CE SARMIENTO
33077088;METROPOLITANA VI;RIO DE JANEIRO;CE ADALGISA MONTEIRO
33077100;METROPOLITANA VI;RIO DE JANEIRO;CE BRIGADEIRO SCHORCHT
33077118;METROPOLITANA VI;RIO DE JANEIRO;CE CARLOS LACERDA
33077126;METROPOLITANA VI;RIO DE JANEIRO;CE EDUARDO MONDLANE
33077134;METROPOLITANA VI;RIO DE JANEIRO;CE ENGENHEIRO BERNARDO SAYAO
33077142;METROPOLITANA VI;RIO DE JANEIRO;CE MAHATMA GANDHI
33077150;METROPOLITANA VI;RIO DE JANEIRO;CE CARDEAL DOM EUGENIO DE ARAUJO SALES
33077169;METROPOLITANA VI;RIO DE JANEIRO;CE EUNICE WEAVER
33077177;METROPOLITANA VI;RIO DE JANEIRO;CE PRESIDENTE JOAO GOULART
33077185;METROPOLITANA VI;RIO DE JANEIRO;CE SENADOR TEOTONIO VILELA
33077363;METROPOLITANA VI;RIO DE JANEIRO;CE ALBERTO RANGEL
33077371;METROPOLITANA VI;RIO DE JANEIRO;CE ALINA DE BRITO
33077452;METROPOLITANA VI;RIO DE JANEIRO;CE EMBAIXADOR DIAS CARNEIRO
33077487;METROPOLITANA VI;RIO DE JANEIRO;CE FREDERICO EYER
33077495;METROPOLITANA VI;RIO DE JANEIRO;CE GENERAL CARLOS CAETANO MIRAGAYA
33077509;METROPOLITANA VI;RIO DE JANEIRO;CE HONDURAS
33077525;METROPOLITANA VI;RIO DE JANEIRO;CE MARECHAL CANROBERT PEREIRA DA COSTA
33077568;METROPOLITANA VI;RIO DE JANEIRO;CE ROSA DO POVO
33077576;METROPOLITANA VI;RIO DE JANEIRO;CE VICTOR HUGO
33086427;METROPOLITANA VI;RIO DE JANEIRO;CE AUGUSTO RUSCHI
33087644;METROPOLITANA VI;RIO DE JANEIRO;CE VICENTE JANNUZZI
33087725;METROPOLITANA VI;RIO DE JANEIRO;CE GILSON AMADO
33087733;METROPOLITANA VI;RIO DE JANEIRO;CE GOLDA MEIR
33087750;METROPOLITANA VI;RIO DE JANEIRO;CE ALMIRANTE TAMANDARE
33097283;METROPOLITANA VI;RIO DE JANEIRO;CIEP 321 DOUTOR ULYSSES GUIMARAES
33102210;METROPOLITANA VI;RIO DE JANEIRO;CIEP 241 NACAO MANGUEIRENSE GOVERNADOR LEONEL DE MOURA BRIZOLA
33105065;METROPOLITANA VI;RIO DE JANEIRO;CAIC EUCLYDES DA CUNHA
33105103;METROPOLITANA VI;RIO DE JANEIRO;CIEP 303 GP AYRTON SENNA
33110638;METROPOLITANA VI;RIO DE JANEIRO;CIEP 205 FREI AGOSTINHO FINCIAS
33125805;METROPOLITANA VI;RIO DE JANEIRO;CE TEOFILO MOREIRA DA COSTA
33126105;METROPOLITANA VI;RIO DE JANEIRO;CE FINLANDIA
33126224;METROPOLITANA VI;RIO DE JANEIRO;CE HERBERT DE SOUZA
33126232;METROPOLITANA VI;RIO DE JANEIRO;CE COMPOSITOR LUIZ GONZAGA
33126755;METROPOLITANA VI;RIO DE JANEIRO;CE MONTEIRO DE CARVALHO
33126941;METROPOLITANA VI;RIO DE JANEIRO;CE CHIQUINHA GONZAGA
33134049;METROPOLITANA VI;RIO DE JANEIRO;CE PROFESSORA MARIA TEREZINHA DE CARVALHO MACHADO
33138648;METROPOLITANA VI;RIO DE JANEIRO;CE STELLA MATUTINA
33173010;METROPOLITANA VI;RIO DE JANEIRO;CE JORNALISTA MAURÍCIO AZÊDO - BRASIL-ÍNDIA
33183724;METROPOLITANA VI;RIO DE JANEIRO;CE ARTHUR ANTONIO SENDAS
33271208;METROPOLITANA VI;RIO DE JANEIRO;CE JOSE LEITE LOPES
33439222;METROPOLITANA VI;RIO DE JANEIRO;CE COMPOSITOR LUIZ CARLOS DA VILA
33046247;METROPOLITANA VII;BELFORD ROXO;CE GUSTAVO BARROSO
33046263;METROPOLITANA VII;BELFORD ROXO;CAIC 1003 DONA DARCY VARGAS
33046514;METROPOLITANA VII;BELFORD ROXO;CIEP 178 JOÃO SALDANHA
33046522;METROPOLITANA VII;BELFORD ROXO;CIEP 314 GALILEU GALILEI
33046530;METROPOLITANA VII;BELFORD ROXO;CIEP 316 GENERAL LADARIO PEREIRA TELLES
33046565;METROPOLITANA VII;BELFORD ROXO;CIEP 375 WILSON GREY
33046573;METROPOLITANA VII;BELFORD ROXO;CIEP 376 CLAUDIO COUTINHO
33046581;METROPOLITANA VII;BELFORD ROXO;CIEP 377 CARMEM DA SILVA
33046603;METROPOLITANA VII;BELFORD ROXO;CIEP 037 ERNESTO GUEVARA
33046620;METROPOLITANA VII;BELFORD ROXO;CIEP 374 AUGUSTO RODRIGUES
33046646;METROPOLITANA VII;BELFORD ROXO;CIEP 197 MINISTRO MARCOS DE BARROS FREIRE
33046654;METROPOLITANA VII;BELFORD ROXO;CIEP 112 MONSENHOR SOLANO DANTAS MENEZES
33046662;METROPOLITANA VII;BELFORD ROXO;CIEP 116 VILA MAIA
33046743;METROPOLITANA VII;BELFORD ROXO;CE ALICE PACCINI GELIO
33046751;METROPOLITANA VII;BELFORD ROXO;CE BAIRRO NOVA AURORA
33046778;METROPOLITANA VII;BELFORD ROXO;CE JARDIM GLAUCIA
33046786;METROPOLITANA VII;BELFORD ROXO;CE PRESIDENTE KENNEDY
33046794;METROPOLITANA VII;BELFORD ROXO;CE RICARDA LEON
33046808;METROPOLITANA VII;BELFORD ROXO;CE SARGENTO WOLFF
33046816;METROPOLITANA VII;BELFORD ROXO;CE PROFESSOR ANDRE CAVALCANTE DE CARVALHO
33046824;METROPOLITANA VII;BELFORD ROXO;CE TENENTE OTAVIO PINHEIRO - BRASIL-RUSSIA
33046867;METROPOLITANA VII;BELFORD ROXO;CE BOM PASTOR
33047243;METROPOLITANA VII;BELFORD ROXO;CE BAIRRO JARDIM AMERICA
33047251;METROPOLITANA VII;BELFORD ROXO;EE CASTRO ALVES
33047278;METROPOLITANA VII;BELFORD ROXO;CE MARCILIO DIAS
33047286;METROPOLITANA VII;BELFORD ROXO;CIEP 210 MARIO ALVES DE SOUZA VIEIRA
33047294;METROPOLITANA VII;BELFORD ROXO;CE NOVA ALVORADA
33047308;METROPOLITANA VII;BELFORD ROXO;CE PAULINO BARBOSA
33047316;METROPOLITANA VII;BELFORD ROXO;CE PRESIDENTE JOAO GOULART
33047324;METROPOLITANA VII;BELFORD ROXO;CE SAO BERNARDO
33047332;METROPOLITANA VII;BELFORD ROXO;CE SANTA TEREZA
33047340;METROPOLITANA VII;BELFORD ROXO;EE VITAL BRASIL
33047910;METROPOLITANA VII;BELFORD ROXO;CE BRANDAO MONTEIRO
33047928;METROPOLITANA VII;BELFORD ROXO;CE VARZEA DA ALEGRIA
33047936;METROPOLITANA VII;BELFORD ROXO;CE JARDIM IPE
33047944;METROPOLITANA VII;BELFORD ROXO;CE PARQUE AMORIM
33047960;METROPOLITANA VII;BELFORD ROXO;CIEP 380 JORACI CAMARGO
33094144;METROPOLITANA VII;BELFORD ROXO;CIEP 388 LASAR SEGALL
33098131;METROPOLITANA VII;BELFORD ROXO;CIEP 337 BERTA LUTZ
33061084;METROPOLITANA VII;MESQUITA;CIEP 364 NELSON RAMOS
33061106;METROPOLITANA VII;MESQUITA;CIEP 111 GELSON FREITAS
33061122;METROPOLITANA VII;MESQUITA;CIEP 100 SAO FRANCISCO DE ASSIS BRASIL FRANCA
33061149;METROPOLITANA VII;MESQUITA;CE BRASIL
33061165;METROPOLITANA VII;MESQUITA;CE DOM PEDRO I
33061173;METROPOLITANA VII;MESQUITA;CE PIERRE PLANCHER
33061181;METROPOLITANA VII;MESQUITA;CE PRESIDENTE CASTELO BRANCO
33061203;METROPOLITANA VII;MESQUITA;CE VILA BELA
33061246;METROPOLITANA VII;MESQUITA;CE ANA NERI
33113319;METROPOLITANA VII;MESQUITA;CE POETA MARIO QUINTANA
33054576;METROPOLITANA VII;NILÓPOLIS;CE ANTONIO FIGUEIRA DE ALMEIDA
33054584;METROPOLITANA VII;NILÓPOLIS;CE AYDANO DE ALMEIDA
33054592;METROPOLITANA VII;NILÓPOLIS;CE JOÃO CARDOSO - BRASIL-ARGENTINA
33054606;METROPOLITANA VII;NILÓPOLIS;CE PROFESSOR MÁRIO CAMPOS
33054681;METROPOLITANA VII;NILÓPOLIS;CE BERTHA D ALESSANDRO
33054711;METROPOLITANA VII;NILÓPOLIS;CE PROFESSOR UBIRATAN REIS BARBOSA
33054843;METROPOLITANA VII;NILÓPOLIS;IE CARLOS PASQUALE
33054983;METROPOLITANA VII;NILÓPOLIS;CE NUTA BARTHLET JAMES
33055025;METROPOLITANA VII;NILÓPOLIS;CE JOAQUIM DE ALMEIDA FLORES
33055033;METROPOLITANA VII;NILÓPOLIS;CE MARECHAL ZENOBIO DA COSTA
33099049;METROPOLITANA VII;NILÓPOLIS;CIEP 230 MANOEL MALAQUIAS GURGEL DA SILVA
33101078;METROPOLITANA VII;NILÓPOLIS;CIEP 389 GP HAROLDO BARBOSA
33047979;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 398 MARIO LIMA
33092141;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 114 PROFESSORA MARIA GAVAZIO MARTINS
33092168;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 016 PROFESSORA LUCILENE DE SOUZA PECLAT
33092176;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 135 AFONSO HENRIQUES LIMA BARRETO
33092184;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 115 ANTONIO FRANCISCO LISBOA
33092206;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 133 OSWALDO JOSE LOURENCO
33092214;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE ANTONIO GONCALVES
33092222;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE CAETANO BELLONI
33092230;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE JARDIM MERITI
33092249;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE PROFESSORA FRANCISCA JEREMIAS DA SILVEIRA MENEZES
33092257;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE PROFESSOR MURILO BRAGA
33092265;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE RUBENS FARRULLA
33092427;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE PROFESSORA REGINA CELIA DOS REIS OLIVEIRA
33092443;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE DOUTOR ANIBAL VIRIATO DE AZEVEDO
33092451;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE DOUTOR OSCAR PIMENTA SOARES
33092460;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE JOSÉ DO PATROCÍNIO
33092478;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE PEDRO ALVARES CABRAL
33092508;METROPOLITANA VII;SÃO JOÃO DE MERITI;EE PROFESSORA ODYLA DO COUTO
33092516;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE PROFESSORA SANDRA MARIA SANTOS DE SOUSA
33092532;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE VERA CRUZ
33092796;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 179 PROFESSOR CLAUDIO GAMA
33093016;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 029 JOSUE DE CASTRO
33093024;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 030 MARINHEIRO JOÃO CÂNDIDO
33093091;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE CASEMIRO MEIRELLES
33093156;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE AGOSTINHO PORTO
33093180;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE DUQUE COSTA
33093199;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE GOVERNADOR ROBERTO SILVEIRA
33093202;METROPOLITANA VII;SÃO JOÃO DE MERITI;EE PRACA DA BANDEIRA
33093210;METROPOLITANA VII;SÃO JOÃO DE MERITI;EE PROFESSOR ALFREDO MAURICIO BRUN
33093423;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 139 MANUEL BANDEIRA
33093458;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE HILTON GAMA
33093466;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE PROFESSORA ALZIRA DOS SANTOS DA SILVA
33093482;METROPOLITANA VII;SÃO JOÃO DE MERITI;EE SAO FRANCISCO DE ASSIS
33093504;METROPOLITANA VII;SÃO JOÃO DE MERITI;CE VISCONDE DE CAIRU
33104271;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 397 PAULO PONTES
33104298;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 399 JEAN BAPTISTE DEBRET
33104301;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 400 GP OSWALD DE ANDRADE
33104328;METROPOLITANA VII;SÃO JOÃO DE MERITI;EE VILAR DOS TELES
33104344;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 169 MARIA AUGUSTA CORREIA
33104352;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 170 GREGORIO BEZERRA
33104379;METROPOLITANA VII;SÃO JOÃO DE MERITI;CIEP 175 JOSE LINS DO REGO
33004749;NOROESTE FLUMINENSE;APERIBÉ;CE LOURENCA GUIMARAES
33095647;NOROESTE FLUMINENSE;APERIBÉ;CIEP 419 BENIGNO BAIRRAL
33000026;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE GOVERNADOR ROBERTO SILVEIRA
33000042;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE PADRE MELLO
33000115;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE ALCINDA LOPES PEREIRA PINTO
33000158;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE EUCLIDES FELICIANO TARDIN
33000360;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;IE EBER TEIXEIRA DE FIGUEIREDO
33000662;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE MARCILIO DIAS
33000670;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE MARIA DA CONCEICAO PEREIRA PINTO
33518220;NOROESTE FLUMINENSE;BOM JESUS DO ITABAPOANA;CE LUIZ TITO DE ALMEIDA
33004927;NOROESTE FLUMINENSE;CAMBUCÍ;CIEP 276 ERNESTO PAIVA
33005362;NOROESTE FLUMINENSE;CAMBUCÍ;CE WALDEMIRO PITA
33005478;NOROESTE FLUMINENSE;CAMBUCÍ;CE OSCAR BATISTA
33001014;NOROESTE FLUMINENSE;ITALVA;CIEP 141 VEREADOR SAID TANUS JOSÉ
33001022;NOROESTE FLUMINENSE;ITALVA;CE JOAO GUIMARAES
33005990;NOROESTE FLUMINENSE;ITAOCARA;CE FREI TOMAS
33006296;NOROESTE FLUMINENSE;ITAOCARA;CE LAURINDO PITA
33006458;NOROESTE FLUMINENSE;ITAOCARA;CE JOHENIR HENRIQUES VIEGAS
33006571;NOROESTE FLUMINENSE;ITAOCARA;CE JAIME QUEIROZ DE SOUZA
33099278;NOROESTE FLUMINENSE;ITAOCARA;CIEP 275 LENINE CORTES FALANTE
33001278;NOROESTE FLUMINENSE;ITAPERUNA;CE AGRICOLA PROFESSOR LUIZ PAULO RODRIGUES
33001286;NOROESTE FLUMINENSE;ITAPERUNA;CE DEZ DE MAIO
33001294;NOROESTE FLUMINENSE;ITAPERUNA;CE BUARQUE DE NAZARETH
33001316;NOROESTE FLUMINENSE;ITAPERUNA;CE LUIZ FERRAZ
33001332;NOROESTE FLUMINENSE;ITAPERUNA;CE ROMUALDO MONTEIRO DE BARROS
33001359;NOROESTE FLUMINENSE;ITAPERUNA;CE ROTARY
33001456;NOROESTE FLUMINENSE;ITAPERUNA;CE CHEQUER JORGE
33001650;NOROESTE FLUMINENSE;ITAPERUNA;CE LIONS CLUB
33002126;NOROESTE FLUMINENSE;ITAPERUNA;CE SENADOR SA TINOCO
33002258;NOROESTE FLUMINENSE;ITAPERUNA;CE NICOLAO BASTOS FILHO
33002312;NOROESTE FLUMINENSE;ITAPERUNA;CE DOUTOR JOSE BASTOS FRANCA
33002614;NOROESTE FLUMINENSE;ITAPERUNA;CE ETELVINA ALVES DA SILVA
33002827;NOROESTE FLUMINENSE;ITAPERUNA;CE JOSE GARCIA DE FREITAS
33093890;NOROESTE FLUMINENSE;ITAPERUNA;CIEP 263 DOUTOR JAIR DE SIQUEIRA BITTENCOURT
33093555;NOROESTE FLUMINENSE;LAJE DO MURIAÉ;CIEP 343 PROFESSORA EMILIA DINIZ LIGIERO
33006660;NOROESTE FLUMINENSE;MIRACEMA;IE DE MIRACEMA
33006679;NOROESTE FLUMINENSE;MIRACEMA;CE DEODATO LINHARES
33007101;NOROESTE FLUMINENSE;MIRACEMA;CE MANOEL RODRIGUES DE BARROS
33094063;NOROESTE FLUMINENSE;MIRACEMA;CIEP 267 MARIA APARECIDA LIMA SOUTO TOSTES
33183422;NOROESTE FLUMINENSE;MIRACEMA;CE PROFESSORA SONIA DO AMARAL TORRES
33003386;NOROESTE FLUMINENSE;NATIVIDADE;CIEP 468 OLGA THURLER MENDONÇA DA FONSECA
33003394;NOROESTE FLUMINENSE;NATIVIDADE;CE FLAVIO RIBEIRO DE REZENDE
33003424;NOROESTE FLUMINENSE;NATIVIDADE;CE FRANCISCO PORTELLA
33131163;NOROESTE FLUMINENSE;NATIVIDADE;CE CORONEL JOSÉ ROSA DA SILVA
33003858;NOROESTE FLUMINENSE;PORCIÚNCULA;CE JOSE DE LANNES DANTAS BRANDAO
33004129;NOROESTE FLUMINENSE;PORCIÚNCULA;CE GERALDINO SILVA
33004226;NOROESTE FLUMINENSE;PORCIÚNCULA;CE DEPUTADO CARLOS PINTO FILHO
33097216;NOROESTE FLUMINENSE;PORCIÚNCULA;IE ELIANA DUARTE DA SILVA BREIJAO
33007306;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE RUI GUIMARÃES DE ALMEIDA
33007403;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE ALMIRANTE BARÃO DE TEFFE
33007420;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE DOUTOR LEONEL HOMEM DA COSTA
33007900;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE TEMISTOCLES DE ALMEIDA
33142319;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE JOAO MAURICIO BRUM
33183775;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE SUBTENENTE PM CLAUDIO HENTZY FERREIRA
33518211;NOROESTE FLUMINENSE;SANTO ANTÔNIO DE PÁDUA;CE PEDRO BAPTISTA DE SOUZA
33005664;NOROESTE FLUMINENSE;SÃO JOSÉ DE UBÁ;CE MARIA LENY VIEIRA FERREIRA SILVA
33004447;NOROESTE FLUMINENSE;VARRE-SAI;CIEP MARLENE ABIB DE OLIVEIRA FABRI
33008272;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CIEP 056 DOUTOR CUSTODIO SIQUEIRA
33008299;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CIEP 057 DOUTOR NILO PEÇANHA
33008388;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE BENTA PEREIRA
33008396;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE CORONEL JOAO BATISTA DE PAULA BARROSO
33008418;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE DOUTOR FELIX MIRANDA
33008434;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE DOUTOR SYLVIO BASTOS TAVARES
33008442;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE JOAO PESSOA
33008450;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE JOSE DO PATROCINIO
33008485;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE NILO PECANHA
33008493;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE VISCONDE DO RIO BRANCO
33008663;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE QUINZE DE NOVEMBRO
33008728;NORTE FLUMINENSE;CAMPOS DOS GOYTACAZES;CE CONSTANTINO FERNANDES
